"sampleID","cell_type"
"cell_1744","patient10","malignant"
"cell_1745","patient10","malignant"
"cell_1746","patient10","malignant"
"cell_1747","patient10","malignant"
"cell_1748","patient10","Tcell"
"cell_1749","patient10","Tcell"
"cell_1750","patient10","Tcell"
"cell_1751","patient10","malignant"
"cell_1752","patient10","Tcell"
"cell_1753","patient10","malignant"
"cell_1754","patient10","malignant"
"cell_1755","patient10","malignant"
"cell_1756","patient10","malignant"
"cell_1757","patient10","malignant"
"cell_1758","patient10","malignant"
"cell_1759","patient10","Tcell"
"cell_1760","patient10","malignant"
"cell_1761","patient10","malignant"
"cell_1762","patient10","malignant"
"cell_1763","patient10","malignant"
"cell_1764","patient10","malignant"
"cell_1765","patient10","malignant"
"cell_1766","patient10","malignant"
"cell_1767","patient10","malignant"
"cell_1768","patient10","Tcell"
"cell_1769","patient10","Tcell"
"cell_1770","patient10","malignant"
"cell_1771","patient10","Tcell"
"cell_1772","patient10","malignant"
"cell_1773","patient10","Endo"
"cell_1774","patient10","malignant"
"cell_1775","patient10","Tcell"
"cell_1776","patient10","malignant"
"cell_1777","patient10","malignant"
"cell_1778","patient10","malignant"
"cell_1779","patient10","malignant"
"cell_1780","patient10","malignant"
"cell_1781","patient10","malignant"
"cell_1782","patient10","malignant"
"cell_1783","patient10","malignant"
"cell_1784","patient10","malignant"
"cell_1785","patient10","malignant"
"cell_1786","patient10","malignant"
"cell_1787","patient10","malignant"
"cell_1788","patient10","malignant"
"cell_1789","patient10","malignant"
"cell_1790","patient10","malignant"
"cell_1791","patient10","malignant"
"cell_1792","patient10","malignant"
"cell_1793","patient10","malignant"
"cell_1794","patient10","malignant"
"cell_1795","patient10","malignant"
"cell_1796","patient10","malignant"
"cell_1797","patient10","malignant"
"cell_1798","patient10","malignant"
"cell_1799","patient10","malignant"
"cell_1800","patient10","malignant"
"cell_1801","patient10","malignant"
"cell_1802","patient10","malignant"
"cell_1803","patient10","malignant"
"cell_1804","patient10","malignant"
"cell_1805","patient10","malignant"
"cell_1806","patient10","malignant"
"cell_1807","patient10","malignant"
"cell_1808","patient10","malignant"
"cell_1809","patient10","malignant"
"cell_1810","patient10","malignant"
"cell_1811","patient10","malignant"
"cell_1812","patient10","malignant"
"cell_1813","patient10","malignant"
"cell_1814","patient10","malignant"
"cell_1815","patient10","malignant"
"cell_1816","patient10","Endo"
"cell_1817","patient10","malignant"
"cell_1818","patient10","malignant"
"cell_1819","patient10","malignant"
"cell_1820","patient10","malignant"
"cell_1821","patient10","malignant"
"cell_1822","patient10","malignant"
"cell_1823","patient10","malignant"
"cell_1824","patient10","malignant"
"cell_1825","patient10","malignant"
"cell_1826","patient10","malignant"
"cell_1827","patient10","malignant"
"cell_1828","patient10","malignant"
"cell_1829","patient10","malignant"
"cell_1830","patient10","malignant"
"cell_1831","patient10","malignant"
"cell_1832","patient10","malignant"
"cell_1833","patient10","malignant"
"cell_1834","patient10","malignant"
"cell_1835","patient10","malignant"
"cell_1836","patient10","malignant"
"cell_1837","patient10","malignant"
"cell_1838","patient10","malignant"
"cell_1839","patient10","malignant"
"cell_1840","patient10","malignant"
"cell_1841","patient10","malignant"
"cell_1842","patient10","malignant"
"cell_1843","patient10","malignant"
"cell_1844","patient10","malignant"
"cell_1845","patient10","malignant"
"cell_1846","patient10","malignant"
"cell_1847","patient10","malignant"
"cell_1848","patient10","malignant"
"cell_1849","patient11","malignant"
"cell_1850","patient11","malignant"
"cell_1851","patient11","malignant"
"cell_1852","patient11","malignant"
"cell_1853","patient11","Macro"
"cell_1854","patient11","Tcell"
"cell_1855","patient11","malignant"
"cell_1856","patient11","malignant"
"cell_1857","patient11","malignant"
"cell_1858","patient11","malignant"
"cell_1859","patient11","Tcell"
"cell_1860","patient11","malignant"
"cell_1861","patient11","CAF"
"cell_1862","patient11","malignant"
"cell_1863","patient11","Tcell"
"cell_1864","patient11","Bcell"
"cell_1865","patient11","CAF"
"cell_1866","patient11","malignant"
"cell_1867","patient11","NK"
"cell_1868","patient11","Tcell"
"cell_1869","patient11","Tcell"
"cell_1870","patient11","malignant"
"cell_1871","patient11","malignant"
"cell_1872","patient11","Macro"
"cell_1873","patient11","Tcell"
"cell_1874","patient11","malignant"
"cell_1875","patient11","malignant"
"cell_1876","patient11","NK"
"cell_1877","patient11","malignant"
"cell_1878","patient11","malignant"
"cell_1879","patient11","Tcell"
"cell_1880","patient11","malignant"
"cell_1881","patient11","CAF"
"cell_1882","patient11","malignant"
"cell_1883","patient11","malignant"
"cell_1884","patient11","CAF"
"cell_1885","patient11","Tcell"
"cell_1886","patient11","Tcell"
"cell_1887","patient11","malignant"
"cell_1888","patient11","Tcell"
"cell_1889","patient11","malignant"
"cell_1890","patient11","malignant"
"cell_1891","patient11","Tcell"
"cell_1892","patient11","malignant"
"cell_1893","patient11","malignant"
"cell_1894","patient11","Tcell"
"cell_1895","patient11","malignant"
"cell_1896","patient11","Tcell"
"cell_1897","patient11","malignant"
"cell_1898","patient11","malignant"
"cell_1899","patient11","CAF"
"cell_1900","patient11","malignant"
"cell_1901","patient11","Tcell"
"cell_1902","patient11","malignant"
"cell_1903","patient11","Tcell"
"cell_1904","patient11","malignant"
"cell_1905","patient11","Tcell"
"cell_1906","patient11","malignant"
"cell_1907","patient11","malignant"
"cell_1908","patient11","malignant"
"cell_1909","patient11","malignant"
"cell_1910","patient11","Macro"
"cell_1911","patient11","Tcell"
"cell_1912","patient11","Tcell"
"cell_1913","patient11","malignant"
"cell_1914","patient11","Macro"
"cell_1915","patient11","malignant"
"cell_1916","patient11","malignant"
"cell_1917","patient11","Tcell"
"cell_1918","patient11","malignant"
"cell_1919","patient11","malignant"
"cell_1920","patient11","malignant"
"cell_1921","patient11","malignant"
"cell_1922","patient11","malignant"
"cell_1923","patient11","malignant"
"cell_1924","patient11","Tcell"
"cell_1925","patient11","Tcell"
"cell_1926","patient11","CAF"
"cell_1927","patient11","Tcell"
"cell_1928","patient11","malignant"
"cell_1929","patient11","Tcell"
"cell_1930","patient11","Tcell"
"cell_1931","patient11","malignant"
"cell_1932","patient11","malignant"
"cell_1933","patient12","Bcell"
"cell_1934","patient12","malignant"
"cell_1935","patient12","Tcell"
"cell_1936","patient12","Tcell"
"cell_1937","patient12","Tcell"
"cell_1938","patient12","Tcell"
"cell_1939","patient12","malignant"
"cell_1940","patient12","Tcell"
"cell_1941","patient12","CAF"
"cell_1942","patient12","malignant"
"cell_1943","patient12","malignant"
"cell_1944","patient12","malignant"
"cell_1945","patient12","Tcell"
"cell_1946","patient12","Tcell"
"cell_1947","patient12","malignant"
"cell_1948","patient12","Macro"
"cell_1949","patient12","Tcell"
"cell_1950","patient12","malignant"
"cell_1951","patient12","malignant"
"cell_1952","patient12","Bcell"
"cell_1953","patient12","malignant"
"cell_1954","patient12","malignant"
"cell_1955","patient12","Tcell"
"cell_1956","patient12","Macro"
"cell_1957","patient12","malignant"
"cell_1958","patient12","Endo"
"cell_1959","patient12","Tcell"
"cell_1960","patient12","Tcell"
"cell_1961","patient12","malignant"
"cell_1962","patient12","malignant"
"cell_1963","patient12","malignant"
"cell_1964","patient12","malignant"
"cell_1965","patient12","Tcell"
"cell_1966","patient12","malignant"
"cell_1967","patient12","Tcell"
"cell_1968","patient12","Tcell"
"cell_1969","patient12","Bcell"
"cell_1970","patient12","Tcell"
"cell_1971","patient12","Tcell"
"cell_1972","patient12","malignant"
"cell_1973","patient12","Bcell"
"cell_1974","patient12","Tcell"
"cell_1975","patient12","Bcell"
"cell_1976","patient12","NK"
"cell_1977","patient12","Tcell"
"cell_1978","patient12","Tcell"
"cell_1979","patient12","Bcell"
"cell_1980","patient12","Tcell"
"cell_1981","patient12","Tcell"
"cell_1982","patient12","Tcell"
"cell_1983","patient12","Tcell"
"cell_1984","patient12","Tcell"
"cell_1985","patient12","Tcell"
"cell_1986","patient12","Tcell"
"cell_1987","patient12","Bcell"
"cell_1988","patient12","malignant"
"cell_1989","patient12","Tcell"
"cell_1990","patient12","Bcell"
"cell_1991","patient12","malignant"
"cell_1992","patient12","Tcell"
"cell_1993","patient12","Tcell"
"cell_1994","patient12","Macro"
"cell_1995","patient12","Tcell"
"cell_1996","patient12","Tcell"
"cell_1997","patient12","Bcell"
"cell_1998","patient12","Tcell"
"cell_1999","patient12","Tcell"
"cell_2000","patient12","Bcell"
"cell_2001","patient12","Tcell"
"cell_2002","patient12","Bcell"
"cell_2003","patient12","malignant"
"cell_2004","patient12","Tcell"
"cell_2005","patient12","malignant"
"cell_2006","patient12","Tcell"
"cell_2007","patient12","Tcell"
"cell_2008","patient12","Tcell"
"cell_2009","patient12","NK"
"cell_2010","patient12","Tcell"
"cell_2011","patient12","Bcell"
"cell_2012","patient12","Bcell"
"cell_2013","patient12","Bcell"
"cell_2014","patient12","Bcell"
"cell_2015","patient12","Tcell"
"cell_2016","patient12","Tcell"
"cell_2017","patient12","Bcell"
"cell_2018","patient12","Tcell"
"cell_2019","patient12","Bcell"
"cell_2020","patient12","Bcell"
"cell_2021","patient12","Bcell"
"cell_2022","patient12","Tcell"
"cell_2023","patient12","Bcell"
"cell_2024","patient12","Tcell"
"cell_2025","patient12","Tcell"
"cell_2026","patient12","NK"
"cell_2027","patient12","Bcell"
"cell_2028","patient12","Tcell"
"cell_2029","patient12","Tcell"
"cell_2030","patient12","malignant"
"cell_2031","patient12","Tcell"
"cell_2032","patient12","Tcell"
"cell_2033","patient12","NK"
"cell_2034","patient12","Tcell"
"cell_2035","patient12","Bcell"
"cell_2036","patient12","Tcell"
"cell_2037","patient12","Tcell"
"cell_2038","patient12","Bcell"
"cell_2039","patient12","Bcell"
"cell_2040","patient12","Bcell"
"cell_2041","patient12","Macro"
"cell_2042","patient12","Tcell"
"cell_2043","patient12","malignant"
"cell_2044","patient12","Macro"
"cell_2045","patient12","Macro"
"cell_2046","patient12","malignant"
"cell_2047","patient12","Macro"
"cell_2048","patient12","NK"
"cell_2049","patient12","Tcell"
"cell_2050","patient12","Tcell"
"cell_2051","patient12","malignant"
"cell_2052","patient12","NK"
"cell_2053","patient12","Macro"
"cell_2054","patient12","NK"
"cell_2055","patient12","Macro"
"cell_2056","patient12","Macro"
"cell_2057","patient12","malignant"
"cell_2058","patient12","Macro"
"cell_2059","patient12","Tcell"
"cell_2060","patient12","Macro"
"cell_2061","patient12","Macro"
"cell_2062","patient12","Macro"
"cell_2063","patient12","malignant"
"cell_2064","patient12","Macro"
"cell_2065","patient12","Macro"
"cell_2066","patient12","malignant"
"cell_2067","patient12","malignant"
"cell_2068","patient12","Tcell"
"cell_2069","patient12","malignant"
"cell_2070","patient12","Macro"
"cell_2071","patient12","malignant"
"cell_2072","patient12","malignant"
"cell_2073","patient12","Tcell"
"cell_2074","patient12","Macro"
"cell_2075","patient12","Tcell"
"cell_2076","patient12","Macro"
"cell_2077","patient12","Macro"
"cell_2078","patient12","Tcell"
"cell_2079","patient12","Macro"
"cell_2080","patient12","malignant"
"cell_2081","patient12","malignant"
"cell_2082","patient12","malignant"
"cell_2083","patient12","malignant"
"cell_2084","patient12","Tcell"
"cell_2085","patient12","malignant"
"cell_2086","patient12","malignant"
"cell_2087","patient12","Macro"
"cell_2088","patient12","Macro"
"cell_2089","patient12","Macro"
"cell_2090","patient12","Macro"
"cell_2091","patient12","malignant"
"cell_2092","patient13","Tcell"
"cell_2093","patient13","Macro"
"cell_2094","patient13","Tcell"
"cell_2095","patient13","Macro"
"cell_2096","patient13","Tcell"
"cell_2097","patient13","Macro"
"cell_2098","patient13","Tcell"
"cell_2099","patient13","Tcell"
"cell_2100","patient13","Macro"
"cell_2101","patient13","Tcell"
"cell_2102","patient13","Tcell"
"cell_2103","patient13","Tcell"
"cell_2104","patient13","Macro"
"cell_2105","patient13","Tcell"
"cell_2106","patient13","Tcell"
"cell_2107","patient13","malignant"
"cell_2108","patient13","malignant"
"cell_2109","patient13","Tcell"
"cell_2110","patient13","Tcell"
"cell_2111","patient13","Tcell"
"cell_2112","patient13","Tcell"
"cell_2113","patient13","Tcell"
"cell_2114","patient13","Tcell"
"cell_2115","patient13","Macro"
"cell_2116","patient13","malignant"
"cell_2117","patient13","Tcell"
"cell_2118","patient13","Tcell"
"cell_2119","patient13","malignant"
"cell_2120","patient13","Tcell"
"cell_2121","patient13","Tcell"
"cell_2122","patient13","Tcell"
"cell_2123","patient13","Tcell"
"cell_2124","patient13","Tcell"
"cell_2125","patient13","Tcell"
"cell_2126","patient13","Tcell"
"cell_2127","patient13","Tcell"
"cell_2128","patient13","Tcell"
"cell_2129","patient13","Tcell"
"cell_2130","patient13","Tcell"
"cell_2131","patient13","NK"
"cell_2132","patient13","Tcell"
"cell_2133","patient13","Tcell"
"cell_2134","patient13","Tcell"
"cell_2135","patient13","malignant"
"cell_2136","patient13","NK"
"cell_2137","patient13","Tcell"
"cell_2138","patient13","Tcell"
"cell_2139","patient13","NK"
"cell_2140","patient13","Tcell"
"cell_2141","patient13","malignant"
"cell_2142","patient13","Tcell"
"cell_2143","patient13","Tcell"
"cell_2144","patient13","Tcell"
"cell_2145","patient13","NK"
"cell_2146","patient13","Tcell"
"cell_2147","patient13","Tcell"
"cell_2148","patient13","Tcell"
"cell_2149","patient13","Tcell"
"cell_2150","patient13","Macro"
"cell_2151","patient13","Tcell"
"cell_2152","patient13","malignant"
"cell_2153","patient13","Tcell"
"cell_2154","patient13","NK"
"cell_2155","patient13","malignant"
"cell_2156","patient13","malignant"
"cell_2157","patient13","malignant"
"cell_2158","patient13","malignant"
"cell_2159","patient13","malignant"
"cell_2160","patient13","malignant"
"cell_2161","patient13","malignant"
"cell_2162","patient13","malignant"
"cell_2163","patient13","malignant"
"cell_2164","patient13","malignant"
"cell_2165","patient13","malignant"
"cell_2166","patient13","malignant"
"cell_2167","patient13","malignant"
"cell_2168","patient13","malignant"
"cell_2169","patient13","malignant"
"cell_2170","patient13","malignant"
"cell_2171","patient13","malignant"
"cell_2172","patient13","malignant"
"cell_2173","patient13","malignant"
"cell_2174","patient13","malignant"
"cell_2175","patient13","malignant"
"cell_2176","patient13","malignant"
"cell_2177","patient13","malignant"
"cell_2178","patient13","malignant"
"cell_2179","patient13","malignant"
"cell_2180","patient13","malignant"
"cell_2181","patient13","malignant"
"cell_2182","patient13","malignant"
"cell_2183","patient13","malignant"
"cell_2184","patient13","malignant"
"cell_2185","patient13","malignant"
"cell_2186","patient13","malignant"
"cell_2187","patient13","malignant"
"cell_2188","patient13","malignant"
"cell_2189","patient13","malignant"
"cell_2190","patient13","malignant"
"cell_2191","patient13","malignant"
"cell_2192","patient13","malignant"
"cell_2193","patient13","malignant"
"cell_2194","patient13","malignant"
"cell_2195","patient13","malignant"
"cell_2196","patient13","malignant"
"cell_2197","patient13","malignant"
"cell_2198","patient13","malignant"
"cell_2199","patient13","malignant"
"cell_2200","patient13","malignant"
"cell_2201","patient13","malignant"
"cell_2202","patient13","malignant"
"cell_2203","patient13","malignant"
"cell_2204","patient13","malignant"
"cell_2205","patient13","malignant"
"cell_2206","patient13","malignant"
"cell_2207","patient13","malignant"
"cell_2208","patient13","malignant"
"cell_2209","patient13","malignant"
"cell_2210","patient13","malignant"
"cell_2211","patient13","malignant"
"cell_2212","patient13","malignant"
"cell_2213","patient13","malignant"
"cell_2214","patient13","malignant"
"cell_2215","patient13","malignant"
"cell_2216","patient13","malignant"
"cell_2217","patient13","malignant"
"cell_2218","patient13","malignant"
"cell_2219","patient13","malignant"
"cell_2220","patient13","malignant"
"cell_2221","patient13","malignant"
"cell_2222","patient13","malignant"
"cell_2223","patient13","malignant"
"cell_2224","patient13","malignant"
"cell_2225","patient13","malignant"
"cell_2226","patient13","malignant"
"cell_2227","patient13","malignant"
"cell_2228","patient13","malignant"
"cell_2229","patient13","malignant"
"cell_2230","patient13","malignant"
"cell_2231","patient13","malignant"
"cell_2232","patient13","malignant"
"cell_2233","patient13","malignant"
"cell_2234","patient13","malignant"
"cell_2235","patient13","malignant"
"cell_2236","patient13","malignant"
"cell_2237","patient13","malignant"
"cell_2238","patient13","malignant"
"cell_2239","patient13","malignant"
"cell_2240","patient13","malignant"
"cell_2241","patient13","malignant"
"cell_2242","patient13","malignant"
"cell_2243","patient13","malignant"
"cell_2244","patient13","malignant"
"cell_2245","patient13","malignant"
"cell_2246","patient13","malignant"
"cell_2247","patient13","malignant"
"cell_2248","patient13","malignant"
"cell_2249","patient13","malignant"
"cell_2250","patient13","malignant"
"cell_2251","patient13","malignant"
"cell_2252","patient13","malignant"
"cell_2253","patient13","malignant"
"cell_2254","patient13","malignant"
"cell_2255","patient13","malignant"
"cell_2256","patient13","malignant"
"cell_2257","patient13","malignant"
"cell_2258","patient13","malignant"
"cell_2259","patient13","malignant"
"cell_2260","patient13","malignant"
"cell_2261","patient13","malignant"
"cell_2262","patient13","malignant"
"cell_2263","patient13","malignant"
"cell_2264","patient13","malignant"
"cell_2265","patient13","malignant"
"cell_2266","patient13","malignant"
"cell_2267","patient13","malignant"
"cell_2268","patient13","malignant"
"cell_2269","patient13","malignant"
"cell_2270","patient13","malignant"
"cell_2271","patient13","malignant"
"cell_2272","patient13","malignant"
"cell_2273","patient13","malignant"
"cell_2274","patient13","malignant"
"cell_2275","patient13","malignant"
"cell_2276","patient13","malignant"
"cell_2277","patient13","malignant"
"cell_2278","patient13","malignant"
"cell_2279","patient13","malignant"
"cell_2280","patient13","malignant"
"cell_2281","patient13","malignant"
"cell_2282","patient13","Macro"
"cell_2283","patient13","malignant"
"cell_2284","patient13","Tcell"
"cell_2285","patient13","Tcell"
"cell_2286","patient13","Tcell"
"cell_2287","patient13","malignant"
"cell_2288","patient13","Macro"
"cell_2289","patient13","malignant"
"cell_2290","patient13","Macro"
"cell_2291","patient13","Tcell"
"cell_2292","patient13","Tcell"
"cell_2293","patient13","Tcell"
"cell_2294","patient13","malignant"
"cell_2295","patient13","Bcell"
"cell_2296","patient13","Macro"
"cell_2297","patient13","malignant"
"cell_2298","patient13","malignant"
"cell_2299","patient13","Bcell"
"cell_2300","patient13","malignant"
"cell_2301","patient13","Bcell"
"cell_2302","patient13","Macro"
"cell_2303","patient13","Tcell"
"cell_2304","patient13","Tcell"
"cell_2305","patient13","Tcell"
"cell_2306","patient13","Bcell"
"cell_2307","patient13","Macro"
"cell_2308","patient13","Macro"
"cell_2309","patient13","malignant"
"cell_2310","patient13","malignant"
"cell_2311","patient13","Tcell"
"cell_2312","patient13","Macro"
"cell_2313","patient13","Macro"
"cell_2314","patient13","malignant"
"cell_2315","patient13","malignant"
"cell_2316","patient13","Macro"
"cell_2317","patient13","Macro"
"cell_2318","patient13","Macro"
"cell_2319","patient13","Bcell"
"cell_2320","patient13","Macro"
"cell_2321","patient13","Macro"
"cell_2322","patient13","malignant"
"cell_2323","patient13","Tcell"
"cell_2324","patient13","Tcell"
"cell_2325","patient13","malignant"
"cell_2326","patient13","Tcell"
"cell_2327","patient13","Tcell"
"cell_2328","patient13","Tcell"
"cell_2329","patient13","Tcell"
"cell_2330","patient13","Bcell"
"cell_2331","patient13","Tcell"
"cell_2332","patient13","Bcell"
"cell_2333","patient13","malignant"
"cell_2334","patient13","Tcell"
"cell_2335","patient13","Tcell"
"cell_2336","patient13","Macro"
"cell_2337","patient13","Tcell"
"cell_2338","patient13","Macro"
"cell_2339","patient13","malignant"
"cell_2340","patient13","Tcell"
"cell_2341","patient13","Tcell"
"cell_2342","patient13","Tcell"
"cell_2343","patient13","Tcell"
"cell_2344","patient13","Macro"
"cell_2345","patient13","Tcell"
"cell_2346","patient13","malignant"
"cell_2347","patient13","Bcell"
"cell_2348","patient13","Bcell"
"cell_2349","patient13","malignant"
"cell_2350","patient13","Tcell"
"cell_2351","patient13","Tcell"
"cell_2352","patient13","Tcell"
"cell_2353","patient13","Tcell"
"cell_2354","patient13","Macro"
"cell_2355","patient13","malignant"
"cell_2356","patient13","malignant"
"cell_2357","patient13","Tcell"
"cell_2358","patient13","Macro"
"cell_2359","patient13","Tcell"
"cell_2360","patient13","Tcell"
"cell_2361","patient13","Macro"
"cell_2362","patient13","Bcell"
"cell_2363","patient13","malignant"
"cell_2364","patient13","CAF"
"cell_2365","patient13","Tcell"
"cell_2366","patient13","Tcell"
"cell_2367","patient13","Bcell"
"cell_2368","patient13","malignant"
"cell_2369","patient13","Tcell"
"cell_2370","patient13","Macro"
"cell_2371","patient13","Tcell"
"cell_2372","patient13","Tcell"
"cell_2373","patient13","malignant"
"cell_2374","patient13","Bcell"
"cell_2375","patient13","Tcell"
"cell_2376","patient13","Tcell"
"cell_2377","patient13","Tcell"
"cell_2378","patient13","Bcell"
"cell_2379","patient13","Tcell"
"cell_2380","patient13","malignant"
"cell_2381","patient13","malignant"
"cell_2382","patient13","malignant"
"cell_2383","patient13","malignant"
"cell_2384","patient13","Tcell"
"cell_2385","patient13","malignant"
"cell_2386","patient13","malignant"
"cell_2387","patient13","Tcell"
"cell_2388","patient13","malignant"
"cell_2389","patient13","Macro"
"cell_2390","patient13","Tcell"
"cell_2391","patient13","Bcell"
"cell_2392","patient13","malignant"
"cell_2393","patient13","Tcell"
"cell_2394","patient13","Tcell"
"cell_2395","patient13","Macro"
"cell_2396","patient13","NK"
"cell_2397","patient13","Tcell"
"cell_2398","patient13","Tcell"
"cell_2399","patient13","Tcell"
"cell_2400","patient13","Tcell"
"cell_2401","patient13","Tcell"
"cell_2402","patient13","malignant"
"cell_2403","patient13","malignant"
"cell_2404","patient13","malignant"
"cell_2405","patient13","Tcell"
"cell_2406","patient13","Macro"
"cell_2407","patient13","CAF"
"cell_2408","patient13","malignant"
"cell_2409","patient13","Macro"
"cell_2410","patient13","NK"
"cell_2411","patient13","Tcell"
"cell_2412","patient13","Macro"
"cell_2413","patient13","Macro"
"cell_2414","patient13","Tcell"
"cell_2415","patient13","Tcell"
"cell_2416","patient13","NK"
"cell_2417","patient13","Tcell"
"cell_2418","patient13","Tcell"
"cell_2419","patient13","Tcell"
"cell_2420","patient13","Tcell"
"cell_2421","patient13","Tcell"
"cell_2422","patient13","malignant"
"cell_2423","patient13","Tcell"
"cell_2424","patient13","Macro"
"cell_2425","patient13","malignant"
"cell_2426","patient13","Tcell"
"cell_2427","patient13","Tcell"
"cell_2428","patient13","Tcell"
"cell_2429","patient13","Tcell"
"cell_2430","patient13","Tcell"
"cell_2431","patient13","Macro"
"cell_2432","patient13","malignant"
"cell_2433","patient13","Macro"
"cell_2434","patient13","Macro"
"cell_2435","patient13","Bcell"
"cell_2436","patient13","Macro"
"cell_2437","patient13","Macro"
"cell_2438","patient13","Macro"
"cell_2439","patient13","Bcell"
"cell_2440","patient13","Tcell"
"cell_2441","patient13","Tcell"
"cell_2442","patient13","NK"
"cell_2443","patient14","Bcell"
"cell_2444","patient14","Macro"
"cell_2445","patient14","Tcell"
"cell_2446","patient14","Tcell"
"cell_2447","patient14","Tcell"
"cell_2448","patient14","Tcell"
"cell_2449","patient14","Tcell"
"cell_2450","patient14","Tcell"
"cell_2451","patient14","Tcell"
"cell_2452","patient14","Tcell"
"cell_2453","patient14","Bcell"
"cell_2454","patient14","Bcell"
"cell_2455","patient14","Bcell"
"cell_2456","patient14","Tcell"
"cell_2457","patient14","Macro"
"cell_2458","patient14","Tcell"
"cell_2459","patient14","Tcell"
"cell_2460","patient14","Tcell"
"cell_2461","patient14","Bcell"
"cell_2462","patient14","Macro"
"cell_2463","patient14","Tcell"
"cell_2464","patient14","Bcell"
"cell_2465","patient14","Tcell"
"cell_2466","patient14","Tcell"
"cell_2467","patient14","Tcell"
"cell_2468","patient14","Bcell"
"cell_2469","patient14","Tcell"
"cell_2470","patient14","Tcell"
"cell_2471","patient14","malignant"
"cell_2472","patient14","Tcell"
"cell_2473","patient14","Tcell"
"cell_2474","patient14","Bcell"
"cell_2475","patient14","Tcell"
"cell_2476","patient14","Tcell"
"cell_2477","patient14","Tcell"
"cell_2478","patient14","Bcell"
"cell_2479","patient14","Tcell"
"cell_2480","patient14","Tcell"
"cell_2481","patient14","Tcell"
"cell_2482","patient14","Tcell"
"cell_2483","patient14","Bcell"
"cell_2484","patient14","malignant"
"cell_2485","patient14","Tcell"
"cell_2486","patient14","Macro"
"cell_2487","patient14","Tcell"
"cell_2488","patient14","Tcell"
"cell_2489","patient14","Tcell"
"cell_2490","patient14","Bcell"
"cell_2491","patient14","Tcell"
"cell_2492","patient14","Tcell"
"cell_2493","patient14","Bcell"
"cell_2494","patient14","Tcell"
"cell_2495","patient14","Tcell"
"cell_2496","patient14","Tcell"
"cell_2497","patient14","malignant"
"cell_2498","patient14","Tcell"
"cell_2499","patient14","Bcell"
"cell_2500","patient14","Bcell"
"cell_2501","patient14","Tcell"
"cell_2502","patient14","Tcell"
"cell_2503","patient14","Tcell"
"cell_2504","patient14","Tcell"
"cell_2505","patient14","Bcell"
"cell_2506","patient14","Tcell"
"cell_2507","patient14","Tcell"
"cell_2508","patient14","Tcell"
"cell_2509","patient14","Tcell"
"cell_2510","patient14","Tcell"
"cell_2511","patient14","Tcell"
"cell_2512","patient14","Tcell"
"cell_2513","patient14","Tcell"
"cell_2514","patient14","malignant"
"cell_2515","patient14","Bcell"
"cell_2516","patient14","Bcell"
"cell_2517","patient14","Tcell"
"cell_2518","patient14","Tcell"
"cell_2519","patient14","Tcell"
"cell_2520","patient14","Tcell"
"cell_2521","patient14","Tcell"
"cell_2522","patient14","Bcell"
"cell_2523","patient14","Tcell"
"cell_2524","patient14","Macro"
"cell_2525","patient14","Bcell"
"cell_2526","patient14","Tcell"
"cell_2527","patient14","Bcell"
"cell_2528","patient14","Tcell"
"cell_2529","patient14","malignant"
"cell_2530","patient14","malignant"
"cell_2531","patient14","Tcell"
"cell_2532","patient14","Tcell"
"cell_2533","patient14","Tcell"
"cell_2534","patient14","malignant"
"cell_2535","patient14","Bcell"
"cell_2536","patient14","Tcell"
"cell_2537","patient14","Tcell"
"cell_2538","patient14","Tcell"
"cell_2539","patient14","Tcell"
"cell_2540","patient14","Tcell"
"cell_2541","patient14","malignant"
"cell_2542","patient14","Tcell"
"cell_2543","patient14","Bcell"
"cell_2544","patient14","malignant"
"cell_2545","patient14","Tcell"
"cell_2546","patient14","Tcell"
"cell_2547","patient14","Tcell"
"cell_2548","patient14","Tcell"
"cell_2549","patient14","Bcell"
"cell_2550","patient14","Macro"
"cell_2551","patient14","Tcell"
"cell_2552","patient14","Bcell"
"cell_2553","patient14","Tcell"
"cell_2554","patient14","malignant"
"cell_2555","patient14","Bcell"
"cell_2556","patient14","malignant"
"cell_2557","patient14","Tcell"
"cell_2558","patient14","malignant"
"cell_2559","patient14","Bcell"
"cell_2560","patient14","Tcell"
"cell_2561","patient14","Bcell"
"cell_2562","patient14","Macro"
"cell_2563","patient14","Bcell"
"cell_2564","patient14","Bcell"
"cell_2565","patient14","Bcell"
"cell_2566","patient14","malignant"
"cell_2567","patient14","Tcell"
"cell_2568","patient14","Bcell"
"cell_2569","patient14","Tcell"
"cell_2570","patient14","Bcell"
"cell_2571","patient14","Tcell"
"cell_2572","patient14","Tcell"
"cell_2573","patient14","Tcell"
"cell_2574","patient14","Tcell"
"cell_2575","patient14","Tcell"
"cell_2576","patient14","Tcell"
"cell_2577","patient14","Tcell"
"cell_2578","patient14","Tcell"
"cell_2579","patient14","Tcell"
"cell_2580","patient14","malignant"
"cell_2581","patient14","Tcell"
"cell_2582","patient14","Tcell"
"cell_2583","patient14","Tcell"
"cell_2584","patient14","Tcell"
"cell_2585","patient14","malignant"
"cell_2586","patient14","Tcell"
"cell_2587","patient14","Tcell"
"cell_2588","patient14","Bcell"
"cell_2589","patient14","Tcell"
"cell_2590","patient14","Tcell"
"cell_2591","patient14","Bcell"
"cell_2592","patient14","Bcell"
"cell_2593","patient14","Tcell"
"cell_2594","patient14","Tcell"
