"sampleID","cell_type"
"cell_551","patient6","Bcell"
"cell_552","patient6","Tcell"
"cell_553","patient6","Tcell"
"cell_554","patient6","Bcell"
"cell_555","patient6","Tcell"
"cell_556","patient6","Tcell"
"cell_557","patient6","Tcell"
"cell_558","patient6","Tcell"
"cell_559","patient6","Tcell"
"cell_560","patient6","Tcell"
"cell_561","patient6","malignant"
"cell_562","patient6","Tcell"
"cell_563","patient6","Bcell"
"cell_564","patient6","Bcell"
"cell_565","patient6","Tcell"
"cell_566","patient6","Tcell"
"cell_567","patient6","Tcell"
"cell_568","patient6","Tcell"
"cell_569","patient6","Tcell"
"cell_570","patient6","Tcell"
"cell_571","patient6","Bcell"
"cell_572","patient6","malignant"
"cell_573","patient6","Tcell"
"cell_574","patient6","malignant"
"cell_575","patient6","malignant"
"cell_576","patient6","Tcell"
"cell_577","patient6","Tcell"
"cell_578","patient6","malignant"
"cell_579","patient6","Bcell"
"cell_580","patient6","Tcell"
"cell_581","patient6","malignant"
"cell_582","patient6","Bcell"
"cell_583","patient6","malignant"
"cell_584","patient6","malignant"
"cell_585","patient6","Tcell"
"cell_586","patient6","Tcell"
"cell_587","patient6","malignant"
"cell_588","patient6","Tcell"
"cell_589","patient6","Tcell"
"cell_590","patient6","Bcell"
"cell_591","patient6","malignant"
"cell_592","patient6","Tcell"
"cell_593","patient6","malignant"
"cell_594","patient6","Tcell"
"cell_595","patient6","Tcell"
"cell_596","patient6","malignant"
"cell_597","patient6","Tcell"
"cell_598","patient6","Tcell"
"cell_599","patient6","Tcell"
"cell_600","patient6","Tcell"
"cell_601","patient6","malignant"
"cell_602","patient6","Tcell"
"cell_603","patient6","Tcell"
"cell_604","patient6","Tcell"
"cell_605","patient6","Tcell"
"cell_606","patient6","Tcell"
"cell_607","patient6","Tcell"
"cell_608","patient6","malignant"
"cell_609","patient6","Tcell"
"cell_610","patient6","Tcell"
"cell_611","patient6","Tcell"
"cell_612","patient6","malignant"
"cell_613","patient6","Bcell"
"cell_614","patient6","Tcell"
"cell_615","patient6","Tcell"
"cell_616","patient6","Bcell"
"cell_617","patient6","Tcell"
"cell_618","patient6","Tcell"
"cell_619","patient6","Tcell"
"cell_620","patient6","Tcell"
"cell_621","patient6","Tcell"
"cell_622","patient6","Tcell"
"cell_623","patient6","Tcell"
"cell_624","patient6","Tcell"
"cell_625","patient6","Tcell"
"cell_626","patient6","Tcell"
"cell_627","patient6","Tcell"
"cell_628","patient6","Tcell"
"cell_629","patient6","Bcell"
"cell_630","patient6","Tcell"
"cell_631","patient6","Tcell"
"cell_632","patient6","Tcell"
"cell_633","patient6","Bcell"
"cell_634","patient6","Tcell"
"cell_635","patient6","Tcell"
"cell_636","patient6","Tcell"
"cell_637","patient6","Tcell"
"cell_638","patient6","Tcell"
"cell_639","patient6","Tcell"
"cell_640","patient6","Bcell"
"cell_641","patient6","Bcell"
"cell_642","patient6","Tcell"
"cell_643","patient6","Tcell"
"cell_644","patient6","NK"
"cell_645","patient6","Tcell"
"cell_646","patient6","malignant"
"cell_647","patient6","malignant"
"cell_648","patient6","Bcell"
"cell_649","patient6","Bcell"
"cell_650","patient6","Tcell"
"cell_651","patient6","Bcell"
"cell_652","patient6","Bcell"
"cell_653","patient6","Bcell"
"cell_654","patient6","Tcell"
"cell_655","patient6","Tcell"
"cell_656","patient6","Tcell"
"cell_657","patient6","Bcell"
"cell_658","patient6","Bcell"
"cell_659","patient6","Tcell"
"cell_660","patient6","Tcell"
"cell_661","patient6","Tcell"
"cell_662","patient6","Tcell"
"cell_663","patient6","Tcell"
"cell_664","patient6","Tcell"
"cell_665","patient6","Tcell"
"cell_666","patient6","malignant"
"cell_667","patient6","Tcell"
"cell_668","patient6","Bcell"
"cell_669","patient6","Tcell"
"cell_670","patient6","Tcell"
"cell_671","patient6","Tcell"
"cell_672","patient6","Bcell"
"cell_673","patient6","Tcell"
"cell_674","patient6","Bcell"
"cell_675","patient6","malignant"
"cell_676","patient6","Tcell"
"cell_677","patient6","Tcell"
"cell_678","patient6","Tcell"
"cell_679","patient6","Bcell"
"cell_680","patient6","Tcell"
"cell_681","patient6","Tcell"
"cell_682","patient6","Tcell"
"cell_683","patient6","Bcell"
"cell_684","patient6","Tcell"
"cell_685","patient6","Tcell"
"cell_686","patient6","Tcell"
"cell_687","patient6","Tcell"
"cell_688","patient6","Tcell"
"cell_689","patient7","Tcell"
"cell_690","patient7","Tcell"
"cell_691","patient7","Macro"
"cell_692","patient7","Tcell"
"cell_693","patient7","Tcell"
"cell_694","patient7","Tcell"
"cell_695","patient7","Tcell"
"cell_696","patient7","Tcell"
"cell_697","patient7","Tcell"
"cell_698","patient7","Tcell"
"cell_699","patient7","Tcell"
"cell_700","patient7","Tcell"
"cell_701","patient7","Tcell"
"cell_702","patient7","Tcell"
"cell_703","patient7","Tcell"
"cell_704","patient7","Tcell"
"cell_705","patient7","Tcell"
"cell_706","patient7","Tcell"
"cell_707","patient7","Tcell"
"cell_708","patient7","Tcell"
"cell_709","patient7","Tcell"
"cell_710","patient7","Tcell"
"cell_711","patient7","Tcell"
"cell_712","patient7","Tcell"
"cell_713","patient7","Tcell"
"cell_714","patient7","Tcell"
"cell_715","patient7","Tcell"
"cell_716","patient7","Tcell"
"cell_717","patient7","Tcell"
"cell_718","patient7","Tcell"
"cell_719","patient7","Tcell"
"cell_720","patient7","Tcell"
"cell_721","patient7","Tcell"
"cell_722","patient7","Tcell"
"cell_723","patient7","Tcell"
"cell_724","patient7","Tcell"
"cell_725","patient7","Tcell"
"cell_726","patient7","Tcell"
"cell_727","patient7","Tcell"
"cell_728","patient7","Tcell"
"cell_729","patient7","Tcell"
"cell_730","patient7","Tcell"
"cell_731","patient7","Tcell"
"cell_732","patient7","Tcell"
"cell_733","patient7","Tcell"
"cell_734","patient7","Tcell"
"cell_735","patient7","Tcell"
"cell_736","patient7","Tcell"
"cell_737","patient7","Tcell"
"cell_738","patient7","Tcell"
"cell_739","patient7","Tcell"
"cell_740","patient7","Tcell"
"cell_741","patient7","Tcell"
"cell_742","patient7","Tcell"
"cell_743","patient7","Tcell"
"cell_744","patient7","Tcell"
"cell_745","patient7","Tcell"
"cell_746","patient7","Tcell"
"cell_747","patient7","Tcell"
"cell_748","patient7","Tcell"
"cell_749","patient7","Tcell"
"cell_750","patient7","Tcell"
"cell_751","patient7","Tcell"
"cell_752","patient7","Tcell"
"cell_753","patient7","Tcell"
"cell_754","patient7","Tcell"
"cell_755","patient7","Tcell"
"cell_756","patient7","Tcell"
"cell_757","patient7","Tcell"
"cell_758","patient7","Tcell"
"cell_759","patient7","Tcell"
"cell_760","patient7","Tcell"
"cell_761","patient7","Tcell"
"cell_762","patient7","Tcell"
"cell_763","patient7","Tcell"
"cell_764","patient7","Tcell"
"cell_765","patient7","Tcell"
"cell_766","patient7","Tcell"
"cell_767","patient7","Tcell"
"cell_768","patient7","Tcell"
"cell_769","patient7","Tcell"
"cell_770","patient7","Tcell"
"cell_771","patient7","Tcell"
"cell_772","patient7","Tcell"
"cell_773","patient7","Tcell"
"cell_774","patient7","Tcell"
"cell_775","patient7","Tcell"
"cell_776","patient7","Tcell"
"cell_777","patient7","Tcell"
"cell_778","patient7","Tcell"
"cell_779","patient7","Tcell"
"cell_780","patient7","Tcell"
"cell_781","patient7","Tcell"
"cell_782","patient7","Tcell"
"cell_783","patient7","Tcell"
"cell_784","patient7","Tcell"
"cell_785","patient7","Tcell"
"cell_786","patient7","Tcell"
"cell_787","patient7","Tcell"
"cell_788","patient7","Tcell"
"cell_789","patient7","Tcell"
"cell_790","patient7","Tcell"
"cell_791","patient7","Tcell"
"cell_792","patient7","Tcell"
"cell_793","patient7","Tcell"
"cell_794","patient7","Tcell"
"cell_795","patient7","Tcell"
"cell_796","patient7","Tcell"
"cell_797","patient7","Tcell"
"cell_798","patient7","Tcell"
"cell_799","patient7","Tcell"
"cell_800","patient7","Tcell"
"cell_801","patient7","Tcell"
"cell_802","patient7","Tcell"
"cell_803","patient7","Tcell"
"cell_804","patient7","Tcell"
"cell_805","patient7","Tcell"
"cell_806","patient7","Tcell"
"cell_807","patient7","Tcell"
"cell_808","patient7","Tcell"
"cell_809","patient7","Tcell"
"cell_810","patient7","Tcell"
"cell_811","patient7","Tcell"
"cell_812","patient7","Tcell"
"cell_813","patient7","Tcell"
"cell_814","patient7","Tcell"
"cell_815","patient7","Tcell"
"cell_816","patient7","Tcell"
"cell_817","patient7","Tcell"
"cell_818","patient7","Tcell"
"cell_819","patient7","Tcell"
"cell_820","patient7","Tcell"
"cell_821","patient7","Tcell"
"cell_822","patient7","Tcell"
"cell_823","patient7","Tcell"
"cell_824","patient7","Tcell"
"cell_825","patient7","Tcell"
"cell_826","patient7","Tcell"
"cell_827","patient7","Tcell"
"cell_828","patient7","Tcell"
"cell_829","patient7","Tcell"
"cell_830","patient7","Tcell"
"cell_831","patient7","Tcell"
"cell_832","patient7","Tcell"
"cell_833","patient7","Tcell"
"cell_834","patient7","Tcell"
"cell_835","patient7","Tcell"
"cell_836","patient7","Tcell"
"cell_837","patient7","Tcell"
"cell_838","patient7","Tcell"
"cell_839","patient7","Tcell"
"cell_840","patient7","Tcell"
"cell_841","patient7","Tcell"
"cell_842","patient7","Tcell"
"cell_843","patient7","Tcell"
"cell_844","patient7","Tcell"
"cell_845","patient7","Tcell"
"cell_846","patient7","Tcell"
"cell_847","patient7","Tcell"
"cell_848","patient7","Tcell"
"cell_849","patient7","Tcell"
"cell_850","patient7","Tcell"
"cell_851","patient7","Tcell"
"cell_852","patient7","Tcell"
"cell_853","patient7","Tcell"
"cell_854","patient7","Tcell"
"cell_855","patient7","Tcell"
"cell_856","patient7","Tcell"
"cell_857","patient7","Tcell"
"cell_858","patient7","Tcell"
"cell_859","patient7","Tcell"
"cell_860","patient7","Tcell"
"cell_861","patient7","Tcell"
"cell_862","patient7","Tcell"
"cell_863","patient7","Tcell"
"cell_864","patient7","Tcell"
"cell_865","patient7","Tcell"
"cell_866","patient7","Tcell"
"cell_867","patient7","Tcell"
"cell_868","patient7","Tcell"
"cell_869","patient7","Tcell"
"cell_870","patient7","Tcell"
"cell_871","patient7","Tcell"
"cell_872","patient7","Tcell"
"cell_873","patient7","Tcell"
"cell_874","patient7","Tcell"
"cell_875","patient7","Tcell"
"cell_876","patient7","Tcell"
"cell_877","patient7","Tcell"
"cell_878","patient7","Tcell"
"cell_879","patient7","Tcell"
"cell_880","patient7","Tcell"
"cell_881","patient7","Tcell"
"cell_882","patient7","Tcell"
"cell_883","patient7","Tcell"
"cell_884","patient7","Tcell"
"cell_885","patient7","Tcell"
"cell_886","patient7","Tcell"
"cell_887","patient7","Tcell"
"cell_888","patient7","Tcell"
"cell_889","patient7","Tcell"
"cell_890","patient7","Tcell"
